time,animal,pellets,motorTurns,battery,delay,protocol
1687171579,521,01,00,00,01,linea_basal
1687171681,521,01,00,03,15,linea_basal
1687171748,521,02,00,03,15,linea_basal
1687174577,521,03,00,03,15,linea_basal
1687174791,521,04,00,03,15,linea_basal
1687174944,521,05,00,03,15,linea_basal
1687175021,521,06,00,03,15,linea_basal
1687175112,521,07,00,03,15,linea_basal
1687175239,521,08,00,03,15,linea_basal
1687175808,521,09,00,03,15,linea_basal
1687178925,521,10,00,03,15,linea_basal
1687178950,521,11,00,03,15,linea_basal
1687179005,521,12,00,03,15,linea_basal
1687179541,521,13,00,03,15,linea_basal
1687179560,521,14,00,03,15,linea_basal
1687179733,521,15,00,03,15,linea_basal
1687179776,521,16,00,03,15,linea_basal
1687181388,521,17,00,03,15,linea_basal
1687181412,521,18,00,03,15,linea_basal
1687182098,521,19,00,03,15,linea_basal
1687182123,521,20,00,03,15,linea_basal
1687182159,521,21,00,03,15,linea_basal
1687184122,521,22,00,03,15,linea_basal
1687184175,521,23,00,03,15,linea_basal
1687184237,521,24,00,03,15,linea_basal
1687184369,521,25,00,03,15,linea_basal
1687185004,521,26,00,03,15,linea_basal
1687185274,521,27,00,03,15,linea_basal
1687185426,521,28,00,03,15,linea_basal
1687185589,521,29,00,03,15,linea_basal
1687185610,521,30,00,03,15,linea_basal
1687185648,521,31,00,03,15,linea_basal
1687185673,521,32,00,03,15,linea_basal
1687185964,521,33,00,03,15,linea_basal
1687186009,521,34,00,03,15,linea_basal
1687186396,521,35,00,03,15,linea_basal
1687187247,521,36,00,03,15,linea_basal
1687187981,521,37,00,03,15,linea_basal
1687188423,521,38,00,03,15,linea_basal
1687188734,521,39,00,03,15,linea_basal
1687189449,521,40,00,03,15,linea_basal
1687189863,521,41,00,03,15,linea_basal
1687189904,521,42,00,03,15,linea_basal
1687189941,521,43,00,03,15,linea_basal
1687189974,521,44,00,03,15,linea_basal
1687190426,521,45,00,03,15,linea_basal
1687190670,521,46,00,03,15,linea_basal
1687190911,521,47,00,03,15,linea_basal
1687191135,521,48,00,03,15,linea_basal
1687192180,521,49,00,03,15,linea_basal
1687192232,521,50,00,03,15,linea_basal
1687192262,521,51,00,03,15,linea_basal
1687192808,521,52,00,03,15,linea_basal
1687192905,521,53,00,03,15,linea_basal
1687193245,521,54,00,03,15,linea_basal
1687194633,521,55,00,03,15,linea_basal
1687194704,521,56,00,03,15,linea_basal
1687196220,521,57,00,03,15,linea_basal
1687197274,521,58,00,03,15,linea_basal
1687197407,521,59,00,03,15,linea_basal
1687197442,521,60,00,03,15,linea_basal
1687197851,521,61,00,03,15,linea_basal
1687197892,521,62,00,03,15,linea_basal
1687198462,521,63,00,03,15,linea_basal
1687198486,521,64,00,03,15,linea_basal
1687198512,521,65,00,03,15,linea_basal
1687199623,521,66,00,03,15,linea_basal
1687200287,521,67,00,03,15,linea_basal
1687202626,521,68,00,03,15,linea_basal
1687202650,521,69,00,03,15,linea_basal
1687202685,521,70,00,03,15,linea_basal
1687204520,521,71,00,03,15,linea_basal
1687204564,521,72,00,03,15,linea_basal
1687204568,521,73,00,03,15,linea_basal
1687206592,521,74,00,03,15,linea_basal
1687206618,521,75,00,03,15,linea_basal
1687210032,521,76,00,03,15,linea_basal
1687210055,521,77,00,03,15,linea_basal
1687210085,521,78,00,03,15,linea_basal
1687210122,521,79,00,03,15,linea_basal
1687210140,521,80,00,03,15,linea_basal
1687214056,521,81,00,03,15,linea_basal
1687215100,521,82,00,03,15,linea_basal
1687216386,521,83,00,03,15,linea_basal
1687216423,521,84,00,03,15,linea_basal
1687216456,521,85,00,03,15,linea_basal
1687216532,521,86,00,03,15,linea_basal
1687216561,521,87,00,03,15,linea_basal
1687217376,521,88,00,03,15,linea_basal
1687217722,521,89,00,03,15,linea_basal
1687218192,521,90,00,03,15,linea_basal
1687218275,521,91,00,03,15,linea_basal
1687218552,521,92,00,03,15,linea_basal
1687218580,521,93,00,03,15,linea_basal
1687218667,521,94,00,03,15,linea_basal
1687218698,521,95,00,03,15,linea_basal
1687218700,521,96,00,03,15,linea_basal
1687219064,521,97,00,03,15,linea_basal
1687219109,521,98,00,03,15,linea_basal
1687219112,521,99,00,03,15,linea_basal
1687219896,521,100,00,03,15,linea_basal
1687219917,521,101,00,03,15,linea_basal
1687219937,521,102,00,03,15,linea_basal
1687219940,521,103,00,03,15,linea_basal
1687220877,521,104,00,03,15,linea_basal
1687225295,521,105,00,03,15,linea_basal
1687228001,521,106,00,03,15,linea_basal
1687228031,521,107,00,03,15,linea_basal
1687228060,521,108,00,03,15,linea_basal
1687228090,521,109,00,03,15,linea_basal
1687231820,521,110,00,03,15,linea_basal
1687236195,521,111,00,03,15,linea_basal
1687236224,521,112,00,03,15,linea_basal
1687236245,521,113,00,03,15,linea_basal
1687239087,521,114,00,03,15,linea_basal
1687239119,521,115,00,03,15,linea_basal
1687239126,521,116,00,03,15,linea_basal
1687242223,521,117,00,03,15,linea_basal
1687244524,521,118,00,03,15,linea_basal
1687244656,521,119,00,03,15,linea_basal
1687254376,521,120,00,03,15,linea_basal
1687259372,521,121,00,03,15,linea_basal
1687259379,521,122,00,03,15,linea_basal
1687263022,521,123,00,03,15,linea_basal
1687264033,521,124,00,03,15,linea_basal
1687274462,521,01,00,03,15,linea_basal
1687274510,521,02,00,03,15,linea_basal
1687274555,521,03,00,03,15,linea_basal
1687274579,521,04,00,03,15,linea_basal
1687274600,521,05,00,03,15,linea_basal
1687274705,521,06,00,03,15,linea_basal
1687274805,521,07,00,03,15,linea_basal
1687274859,521,08,00,03,15,linea_basal
1687274907,521,09,00,03,15,linea_basal
1687274970,521,10,00,03,15,linea_basal
1687275187,521,11,00,03,15,linea_basal
946684813,521,01,00,03,01,linea_basal
946684801,521,01,00,00,01,linea_basal
1687337703,521,01,00,00,01,linea_basal
1687338369,521,02,00,04,01,linea_basal
1687338537,521,03,00,04,01,linea_basal
1687338580,521,04,00,04,01,linea_basal
1687338594,521,05,00,04,01,linea_basal
1687338612,521,06,00,04,01,linea_basal
1687338629,521,07,00,04,01,linea_basal
1687338636,521,08,00,04,01,linea_basal
1687338645,521,09,00,04,01,linea_basal
1687338772,521,10,00,04,01,linea_basal
1687338830,521,11,00,04,01,linea_basal
1687338833,521,12,00,04,01,linea_basal
1687338837,521,13,00,04,01,linea_basal
1687338838,521,14,00,04,01,linea_basal
1687338846,521,15,00,04,01,linea_basal
1687338850,521,16,00,04,01,linea_basal
1687338856,521,17,00,04,01,linea_basal
1687338863,521,18,00,04,01,linea_basal
1687338979,521,19,00,04,01,linea_basal
