time,animal,pellets,motorTurns,battery,delay,protocol
946684804,573,01,00,04,01,test
946684821,573,02,00,04,01,test
946684824,573,03,00,04,01,test
1696522583,573,01,00,00,01,test
946684804,573,01,00,00,01,test
946684836,573,02,00,02,01,test
946684857,573,03,00,01,01,test
1696523654,573,01,00,00,01,test
1696523720,573,01,00,00,01,test
946684801,573,01,00,00,01,test
1696523815,573,01,00,00,01,test
1696523867,573,02,00,01,15,test
1696523905,573,03,00,01,15,test
1696523949,573,04,00,01,15,test
946684842,573,01,00,01,15,test
946684801,573,01,00,00,01,test
1697288678,573,01,00,00,01,test
946684877,573,01,00,04,15,test
