ID,experimental_phase,group,date,rnd,intake
420,Experimental,No-Uncertainty,2022-10-06,3,64
421,Experimental,No-Uncertainty,2022-10-06,3,76
422,Experimental,No-Uncertainty,2022-10-06,3,64
413,Experimental,Uncertainty,2022-10-07,3,54
414,Experimental,No-Uncertainty,2022-10-07,3,72
415,Experimental,No-Uncertainty,2022-10-07,3,50
416,Experimental,Uncertainty,2022-10-07,3,48
417,Experimental,Uncertainty,2022-10-07,3,51
418,Experimental,Uncertainty,2022-10-07,3,55
419,Experimental,Uncertainty,2022-10-07,3,61
420,Experimental,No-Uncertainty,2022-10-07,3,59
421,Experimental,No-Uncertainty,2022-10-07,3,75
422,Experimental,No-Uncertainty,2022-10-07,3,65
413,Experimental,Uncertainty,2022-10-08,3,74
414,Experimental,No-Uncertainty,2022-10-08,3,51
415,Experimental,No-Uncertainty,2022-10-08,3,61
416,Experimental,Uncertainty,2022-10-08,3,33
417,Experimental,Uncertainty,2022-10-08,3,32
418,Experimental,Uncertainty,2022-10-08,3,55
419,Experimental,Uncertainty,2022-10-08,3,52
420,Experimental,No-Uncertainty,2022-10-08,3,62
421,Experimental,No-Uncertainty,2022-10-08,3,66
422,Experimental,No-Uncertainty,2022-10-08,3,62
413,Experimental,Uncertainty,2022-10-09,3,67
414,Experimental,No-Uncertainty,2022-10-09,3,53
415,Experimental,No-Uncertainty,2022-10-09,3,66
416,Experimental,Uncertainty,2022-10-09,3,49
417,Experimental,Uncertainty,2022-10-09,3,54
418,Experimental,Uncertainty,2022-10-09,3,55
419,Experimental,Uncertainty,2022-10-09,3,44
420,Experimental,No-Uncertainty,2022-10-09,3,48
421,Experimental,No-Uncertainty,2022-10-09,3,60
422,Experimental,No-Uncertainty,2022-10-09,3,65
413,Experimental,Uncertainty,2022-10-10,3,61
414,Experimental,No-Uncertainty,2022-10-10,3,37
415,Experimental,No-Uncertainty,2022-10-10,3,52
416,Experimental,Uncertainty,2022-10-10,3,45
417,Experimental,Uncertainty,2022-10-10,3,42
418,Experimental,Uncertainty,2022-10-10,3,55
419,Experimental,Uncertainty,2022-10-10,3,60
420,Experimental,No-Uncertainty,2022-10-10,3,59
