ID,group,term,estimate,std.error,p.value
413,Uncertainty,q0,11.290455773304133,5.596427505818004,0.11382932709287749
413,Uncertainty,alpha,3.9174176485200473e-4,4.3229089440037467e-4,0.4160817706195841
414,No-Uncertainty,q0,8.666353172116315,3.756889170889451,0.08232216127486111
414,No-Uncertainty,alpha,2.278340071867112e-4,3.209649329367172e-4,0.5169926545222906
415,No-Uncertainty,q0,8.867380070653006,4.257175500167609,0.10567259701058246
415,No-Uncertainty,alpha,1.959901304090888e-4,3.3085196735871007e-4,0.5854604743502376
416,Uncertainty,q0,12.644227844636836,5.307349192577421,0.07579119826738513
416,Uncertainty,alpha,9.695668137214749e-5,1.8243425742499957e-4,0.6232425249060862
417,Uncertainty,q0,13.488416615709378,5.476489311648339,0.06946948059601124
417,Uncertainty,alpha,7.692808669674214e-5,1.5920674457899924e-4,0.6542136103971985
418,Uncertainty,q0,13.622441308979901,5.035777783849297,0.05380764563589632
418,Uncertainty,alpha,4.597764558992074e-5,1.3253690031560684e-4,0.7461450426379017
419,Uncertainty,q0,12.887887902327156,4.9183983699066385,0.05877825723041984
419,Uncertainty,alpha,6.387796000271945e-5,1.5011695921032938e-4,0.6923521218734618
420,No-Uncertainty,q0,6.832675325233862,2.6130778526427587,0.05912117407061656
420,No-Uncertainty,alpha,1.7992592566788674e-4,3.078152961548532e-4,0.5902471759914993
421,No-Uncertainty,q0,4.460897949889557,1.8371786800887062,0.07212694458944657
421,No-Uncertainty,alpha,5.395830467707053e-4,6.462907030203603e-4,0.45074182686931635
422,No-Uncertainty,q0,6.00143061656725,3.0261007136354663,0.11836443366320853
422,No-Uncertainty,alpha,4.2566321870824846e-4,6.053556267464602e-4,0.5207257535453633
